0000000001 01 transactions clearing E                           
0000000002 02 20260226COB  09:00:18TN0001000108MONOPRIX          000025700000024TUN VAL   00100000007UNION CAP 0010000000050000000067000000000000335002884445         50651                                                                              
0000000585 02 20260226COB  09:00:07TN0003200755ICF               000102500000015AMEN INV  00100000024TUN VAL   001000000009000000078510000000000706590768096          6642201                                                                            
0000000586 02 20260226COB  10:03:03TN0003200755ICF               000204900000015AMEN INV  00100000024TUN VAL   001000000010000000078530000000000785300768096          6642547                                                                            
0000000587 02 20260226COB  10:43:23TN0003200755ICF               000307300000015AMEN INV  00100000024TUN VAL   001000000012000000078530000000000942360768340          6642632                                                                            
0000000588 02 20260226COB  09:00:07TN0003200755ICF               000076900000024TUN VAL   00100000024TUN VAL   0010000000310000000785100000000024338102884636         6642201                                                                            
0000000589 02 20260226COB  09:50:09TN0003200755ICF               000179300000024TUN VAL   00100000024TUN VAL   0010000000060000000785200000000004711202884908         6642508                                                                            
0000000590 02 20260226COB  10:21:23TN0003200755ICF               000230500000015AMEN INV  00100000035ATTIJARI I001000000007000000078530000000000549710768096          C9SI604                                                                            
0000000591 02 20260226COB  10:21:23TN0003200755ICF               000256100000024TUN VAL   00100000035ATTIJARI I0010000000340000000785200000000026696802884908         C9SI604                                                                            
0000000592 02 20260226COB  10:21:23TN0003200755ICF               000281700000024TUN VAL   00100000035ATTIJARI I0010000000380000000785200000000029837602884920         C9SI604                                                                            
0000000593 02 20260226COB  11:16:22TN0003200755ICF               000384100000024TUN VAL   00100000039BH INVEST 0010000000060000000785300000000004711802885076         402114                                                                             
0000000594 02 20260226COB  09:00:07TN0003200755ICF               000025700000024TUN VAL   00100000048BMCE      0010000000060000000785100000000004710602884432         OR18-0292837                                                                       
0000000595 02 20260226COB  09:00:07TN0003200755ICF               000051300000024TUN VAL   00100000048BMCE      0010000000190000000785100000000014916902884636         OR18-0292837                                                                       
0000000596 02 20260226COB  09:17:55TN0003400058AMEN BANK         001459300000001UFI       00900000015AMEN INV  009000000044000000059500000000002618000S1561           768152                                                                             
0000000597 02 20260226COB  09:21:05TN0003400058AMEN BANK         001715300000015AMEN INV  00900000015AMEN INV  001000000010000000059400000000000594000768169          768159                                                                             
0000000598 02 20260226COB  09:22:13TN0003400058AMEN BANK         001740900000015AMEN INV  00900000015AMEN INV  001000000015000000059400000000000891000768173          768159                                                                             
0000000599 02 20260226COB  09:23:59TN0003400058AMEN BANK         001766500000015AMEN INV  00900000015AMEN INV  001000000020000000059400000000001188000768180          768159                                                                             
0000000600 02 20260226COB  09:28:13TN0003400058AMEN BANK         001792100000015AMEN INV  00100000015AMEN INV  001000000010000000059400000000000594000768191          768159                                                                             
0000000601 02 20260226COB  09:28:56TN0003400058AMEN BANK         001817700000015AMEN INV  00100000015AMEN INV  001000000010000000059400000000000594000768193          768159                                                                             
0000000602 02 20260226COB  09:30:19TN0003400058AMEN BANK         001843300000015AMEN INV  00100000015AMEN INV  001000000002000000059400000000000118800768197          768159                                                                             
0000000603 02 20260226COB  11:17:51TN0003400058AMEN BANK         004070500000015AMEN INV  01300000015AMEN INV  009000000173000000059300000000010258900768278          768414                                                                             
0000000604 02 20260226COB  11:24:41TN0003400058AMEN BANK         004121700000015AMEN INV  01300000015AMEN INV  009000000040000000059300000000002372000768278          768424                                                                             
0000000605 02 20260226COB  10:21:35TN0003400058AMEN BANK         003635300000015AMEN INV  00900000015AMEN INV  009000000050000000059500000000002975000768306          768152                                                                             
0000000606 02 20260226COB  10:28:34TN0003400058AMEN BANK         003712100000015AMEN INV  00900000015AMEN INV  009000000020000000059500000000001190000768326          768152                                                                             
0000000607 02 20260226COB  09:18:39TN0003400058AMEN BANK         001484900000018MAC       00100000015AMEN INV  00100000001000000005940000000000059400063597           768159                                                                             
0000000608 02 20260226COB  09:31:20TN0003400058AMEN BANK         001868900000018MAC       00100000015AMEN INV  00100000005000000005940000000000297000063414           768159                                                                             
0000000609 02 20260226COB  09:31:32TN0003400058AMEN BANK         001894500000018MAC       00100000015AMEN INV  00100000001100000005940000000000065340063414           768159                                                                             
0000000610 02 20260226COB  09:32:22TN0003400058AMEN BANK         002022500000018MAC       00100000015AMEN INV  00900000001900000005950000000000113050063414           768152                                                                             
0000000611 02 20260226COB  09:16:43TN0003400058AMEN BANK         001433700000024TUN VAL   01300000015AMEN INV  0090000000500000000595700000000029785002884710         768152                                                                             
0000000612 02 20260226COB  09:19:08TN0003400058AMEN BANK         001510500000024TUN VAL   00100000015AMEN INV  0010000000040000000594000000000002376002884754         768159                                                                             
0000000613 02 20260226COB  10:00:06TN0003400058AMEN BANK         003174500000024TUN VAL   00100000015AMEN INV  0010000000340000000593000000000020162002884917         768256                                                                             
0000000614 02 20260226COB  10:00:06TN0003400058AMEN BANK         003200100000024TUN VAL   00900000015AMEN INV  0010000000410000000593000000000024313002884918         768256                                                                             
0000000615 02 20260226COB  10:01:02TN0003400058AMEN BANK         003225700000024TUN VAL   00900000015AMEN INV  0090000002000000000593000000000118600002884918         768260                                                                             
0000000616 02 20260226COB  10:19:01TN0003400058AMEN BANK         003609700000024TUN VAL   00100000015AMEN INV  0090000000330000000595000000000019635002885030         768152                                                                             
0000000617 02 20260226COB  10:41:17TN0003400058AMEN BANK         003865700000024TUN VAL   00100000015AMEN INV  0090000002840000000595000000000168980002885086         768152                                                                             
0000000618 02 20260226COB  09:19:18TN0003400058AMEN BANK         001638500000014BNAC      00100000018MAC       001000000002000000059300000000000118600162032          54109                                                                              
0000000619 02 20260226COB  10:12:54TN0003400058AMEN BANK         003404900000014BNAC      00100000018MAC       001000000100000000059310000000005931000162081          54109                                                                              
0000000620 02 20260226COB  10:12:54TN0003400058AMEN BANK         003507300000014BNAC      00100000018MAC       001000000100000000059310000000005931000162081          54109                                                                              
0000000621 02 20260226COB  10:58:00TN0003400058AMEN BANK         003993700000014BNAC      00100000018MAC       001000000030000000059500000000001785000162135          49244                                                                              
0000000622 02 20260226COB  10:58:00TN0003400058AMEN BANK         003968100000014BNAC      00100000018MAC       001000000384000000059500000000022848000162135          58145                                                                              
0000000623 02 20260226COB  10:58:00TN0003400058AMEN BANK         004019300000014BNAC      00100000018MAC       001000000001000000059500000000000059500162135          58145                                                                              
0000000624 02 20260226COB  09:00:49TN0003400058AMEN BANK         000435300000015AMEN INV  00900000018MAC       001000000040000000059600000000002384000767959          39495                                                                              
0000000625 02 20260226COB  09:00:49TN0003400058AMEN BANK         000460900000015AMEN INV  00900000018MAC       001000000127000000059600000000007569200767960          39495                                                                              
0000000626 02 20260226COB  09:00:49TN0003400058AMEN BANK         000486500000015AMEN INV  00900000018MAC       001000000145000000059600000000008642000767962          39495                                                                              
0000000627 02 20260226COB  09:00:49TN0003400058AMEN BANK         000512100000015AMEN INV  00900000018MAC       001000000053000000059600000000003158800767970          39495                                                                              
0000000628 02 20260226COB  09:01:11TN0003400058AMEN BANK         000537700000015AMEN INV  00900000018MAC       001000000072000000059600000000004291200767970          54109                                                                              
0000000629 02 20260226COB  10:51:24TN0003400058AMEN BANK         003942500000015AMEN INV  01300000018MAC       001000000025000000059300000000001482500768278          7004                                                                               
0000000630 02 20260226COB  09:07:29TN0003400058AMEN BANK         000691300000015AMEN INV  00900000018MAC       001000000061000000059570000000003633770768131          54109                                                                              
0000000631 02 20260226COB  09:07:46TN0003400058AMEN BANK         000768100000015AMEN INV  01300000018MAC       001000000100000000059570000000005957000768129          54109                                                                              
0000000632 02 20260226COB  09:07:46TN0003400058AMEN BANK         000793700000015AMEN INV  01300000018MAC       001000000528000000059570000000031452960768129          54109                                                                              
0000000633 02 20260226COB  09:08:27TN0003400058AMEN BANK         000819300000015AMEN INV  01300000018MAC       001000000327000000059600000000019489200768129          54109                                                                              
0000000634 02 20260226COB  09:08:27TN0003400058AMEN BANK         000844900000015AMEN INV  00900000018MAC       001000000181000000059600000000010787600768132          54109                                                                              
0000000635 02 20260226COB  09:19:18TN0003400058AMEN BANK         001561700000015AMEN INV  01300000018MAC       001000000278000000059300000000016485400768142          54109                                                                              
0000000636 02 20260226COB  09:13:40TN0003400058AMEN BANK         001382500000015AMEN INV  00900000018MAC       001000000010000000059600000000000596000768147          54109                                                                              
0000000637 02 20260226COB  10:32:27TN0003400058AMEN BANK         003814500000015AMEN INV  01300000018MAC       001000000176000000059300000000010436800768278          54109                                                                              
0000000638 02 20260226COB  10:49:15TN0003400058AMEN BANK         003916900000015AMEN INV  01300000018MAC       001000000025000000059300000000001482500768278          7004                                                                               
0000000639 02 20260226COB  11:18:44TN0003400058AMEN BANK         004096100000015AMEN INV  01300000018MAC       001000000330000000059300000000019569000768278          44664                                                                              
0000000640 02 20260226COB  10:12:54TN0003400058AMEN BANK         003430500000015AMEN INV  00100000018MAC       001000000010000000059310000000000593100768291          54109                                                                              
0000000641 02 20260226COB  10:12:54TN0003400058AMEN BANK         003456100000015AMEN INV  00100000018MAC       001000000030000000059310000000001779300768294          54109                                                                              
0000000642 02 20260226COB  10:27:25TN0003400058AMEN BANK         003660900000015AMEN INV  00900000018MAC       001000000200000000059490000000011898000768322          62431                                                                              
0000000643 02 20260226COB  10:28:34TN0003400058AMEN BANK         003686500000015AMEN INV  00900000018MAC       001000000030000000059490000000001784700768326          62431                                                                              
0000000644 02 20260226COB  09:04:49TN0003400058AMEN BANK         000665700000018MAC       00100000018MAC       00100000003900000005957000000000232323045699           54109                                                                              
0000000645 02 20260226COB  09:08:27TN0003400058AMEN BANK         000870500000018MAC       00100000018MAC       00100000030000000005960000000001788000054109           54109                                                                              
0000000646 02 20260226COB  09:19:18TN0003400058AMEN BANK         001612900000018MAC       00100000018MAC       00100000025000000005930000000001482500061277           54109                                                                              
0000000647 02 20260226COB  09:16:42TN0003400058AMEN BANK         001408100000018MAC       00100000018MAC       00100000002500000005960000000000149000063412           54109                                                                              
0000000648 02 20260226COB  10:12:54TN0003400058AMEN BANK         003379300000018MAC       00100000018MAC       00100000010000000005931000000000593100058102           54109                                                                              
0000000649 02 20260226COB  10:12:54TN0003400058AMEN BANK         003481700000018MAC       00100000018MAC       00100000016000000005931000000000948960058102           54109                                                                              
0000000650 02 20260226COB  10:32:27TN0003400058AMEN BANK         003737700000018MAC       00100000018MAC       00100000010000000005931000000000593100058102           54109                                                                              
0000000651 02 20260226COB  10:32:27TN0003400058AMEN BANK         003788900000018MAC       00100000018MAC       00100000014000000005931000000000830340058102           54109                                                                              
0000000652 02 20260226COB  10:18:20TN0003400058AMEN BANK         003532900000018MAC       00100000018MAC       00100000004000000005945000000000237800063611           63611                                                                              
0000000653 02 20260226COB  10:18:28TN0003400058AMEN BANK         003558500000018MAC       00100000018MAC       00100000001000000005945000000000059450063611           63611                                                                              
0000000654 02 20260226COB  09:01:39TN0003400058AMEN BANK         000640100000024TUN VAL   00100000018MAC       0010000002000000000595700000000119140002884146         54109                                                                              
0000000655 02 20260226COB  09:00:49TN0003400058AMEN BANK         000409700000024TUN VAL   00900000018MAC       0010000001500000000596000000000089400002884170         39495                                                                              
0000000656 02 20260226COB  09:01:11TN0003400058AMEN BANK         000563300000024TUN VAL   00900000018MAC       0010000001500000000596000000000089400002884170         54109                                                                              
0000000657 02 20260226COB  09:01:11TN0003400058AMEN BANK         000588900000024TUN VAL   00900000018MAC       0010000002780000000596000000000165688002884170         54109                                                                              
0000000658 02 20260226COB  09:01:39TN0003400058AMEN BANK         000614500000024TUN VAL   00900000018MAC       0010000000720000000596000000000042912002884170         54109                                                                              
0000000659 02 20260226COB  09:00:23TN0003400058AMEN BANK         000256100000024TUN VAL   01300000018MAC       0010000001000000000598500000000059850002884620         39495                                                                              
0000000660 02 20260226COB  09:00:23TN0003400058AMEN BANK         000332900000024TUN VAL   01300000018MAC       0010000002000000000598500000000119700002884620         39495                                                                              
0000000661 02 20260226COB  09:00:23TN0003400058AMEN BANK         000281700000024TUN VAL   01300000018MAC       0010000001200000000598500000000071820002884620         54109                                                                              
0000000662 02 20260226COB  09:00:23TN0003400058AMEN BANK         000358500000024TUN VAL   01300000018MAC       0010000002340000000598500000000140049002884620         54109                                                                              
0000000663 02 20260226COB  09:19:18TN0003400058AMEN BANK         001587300000024TUN VAL   00900000018MAC       0010000002250000000593000000000133425002884711         54109                                                                              
0000000664 02 20260226COB  09:13:15TN0003400058AMEN BANK         001356900000024TUN VAL   01300000018MAC       0010000000300000000596000000000017880002884720         54109                                                                              
0000000665 02 20260226COB  09:19:18TN0003400058AMEN BANK         001664100000024TUN VAL   00900000018MAC       0010000001850000000593000000000109705002884733         54109                                                                              
0000000666 02 20260226COB  09:19:18TN0003400058AMEN BANK         001536100000024TUN VAL   01300000018MAC       0010000000600000000593100000000035586002884742         54109                                                                              
0000000667 02 20260226COB  10:32:27TN0003400058AMEN BANK         003763300000024TUN VAL   00100000018MAC       0010000000840000000593100000000049820402885054         54109                                                                              
0000000668 02 20260226COB  10:41:17TN0003400058AMEN BANK         003891300000024TUN VAL   00100000018MAC       0010000001160000000595000000000069020002885086         58145                                                                              
0000000669 02 20260226COB  11:43:17TN0003400058AMEN BANK         004198500000024TUN VAL   00100000018MAC       0010000005000000000595000000000297500002885297         58145                                                                              
0000000670 02 20260226COB  11:43:17TN0003400058AMEN BANK         004224100000024TUN VAL   00100000018MAC       0010000002390000000595000000000142205002885297         58145                                                                              
0000000671 02 20260226COB  11:44:11TN0003400058AMEN BANK         004249700000024TUN VAL   00900000018MAC       0010000005000000000595000000000297500002885301         58145                                                                              
0000000672 02 20260226COB  11:44:11TN0003400058AMEN BANK         004275300000024TUN VAL   00900000018MAC       0010000006000000000595000000000357000002885301         58145                                                                              
0000000673 02 20260226COB  11:59:01TN0003400058AMEN BANK         004326500000024TUN VAL   00100000018MAC       0010000001000000000595000000000059500002885380         58145                                                                              
0000000674 02 20260226COB  12:05:04TN0003400058AMEN BANK         004352100000024TUN VAL   00100000018MAC       0010000001400000000595000000000083300002885401         58145                                                                              
0000000675 02 20260226COB  12:07:00TN0003400058AMEN BANK         004377700000024TUN VAL   00100000018MAC       0010000000300000000595000000000017850002885430         58145                                                                              
0000000676 02 20260226COB  12:09:35TN0003400058AMEN BANK         004403300000024TUN VAL   00100000018MAC       0010000000200000000595000000000011900002885443         58145                                                                              
0000000677 02 20260226COB  09:40:51TN0003400058AMEN BANK         002278500000007UNION CAP 01300000024TUN VAL   0010000005000000000593000000000296500004113294199900   6642454                                                                            
0000000678 02 20260226COB  09:40:51TN0003400058AMEN BANK         002304100000007UNION CAP 01300000024TUN VAL   0010000003000000000593000000000177900004113294199900   6642463                                                                            
0000000679 02 20260226COB  09:49:01TN0003400058AMEN BANK         002944100000014BNAC      00100000024TUN VAL   001000000030000000059300000000001779000162061          6642463                                                                            
0000000680 02 20260226COB  09:08:30TN0003400058AMEN BANK         000972900000015AMEN INV  00900000024TUN VAL   001000000115000000059400000000006831000767445          6642341                                                                            
0000000681 02 20260226COB  09:07:29TN0003400058AMEN BANK         000716900000015AMEN INV  00900000024TUN VAL   001000000065000000059570000000003872050768131          6642329                                                                            
0000000682 02 20260226COB  09:07:46TN0003400058AMEN BANK         000742500000015AMEN INV  01300000024TUN VAL   001000000045000000059570000000002680650768129          6642329                                                                            
0000000683 02 20260226COB  09:08:45TN0003400058AMEN BANK         001049700000015AMEN INV  00900000024TUN VAL   001000000055000000059300000000003261500768135          6642341                                                                            
0000000684 02 20260226COB  09:09:44TN0003400058AMEN BANK         001075300000015AMEN INV  00100000024TUN VAL   001000000010000000059300000000000593000768138          6642341                                                                            
0000000685 02 20260226COB  09:11:14TN0003400058AMEN BANK         001152100000015AMEN INV  00900000024TUN VAL   001000000057000000059300000000003380100768141          6642341                                                                            
0000000686 02 20260226COB  09:11:14TN0003400058AMEN BANK         001177700000015AMEN INV  00900000024TUN VAL   001000000075000000059300000000004447500768141          6642341                                                                            
0000000687 02 20260226COB  09:11:56TN0003400058AMEN BANK         001331300000015AMEN INV  01300000024TUN VAL   001000000222000000059300000000013164600768142          6642341                                                                            
0000000688 02 20260226COB  09:34:15TN0003400058AMEN BANK         002073700000015AMEN INV  00100000024TUN VAL   001000000006000000059300000000000355800768195          6642454                                                                            
0000000689 02 20260226COB  09:34:15TN0003400058AMEN BANK         002099300000015AMEN INV  01300000024TUN VAL   001000000500000000059300000000029650000768204          6642454                                                                            
0000000690 02 20260226COB  09:46:57TN0003400058AMEN BANK         002841700000015AMEN INV  00900000024TUN VAL   001000000150000000059300000000008895000768226          6642454                                                                            
0000000691 02 20260226COB  09:47:38TN0003400058AMEN BANK         002867300000015AMEN INV  00900000024TUN VAL   001000000036000000059300000000002134800768229          6642454                                                                            
0000000692 02 20260226COB  09:47:38TN0003400058AMEN BANK         002892900000015AMEN INV  00900000024TUN VAL   001000000004000000059300000000000237200768229          6642463                                                                            
0000000693 02 20260226COB  09:48:41TN0003400058AMEN BANK         002918500000015AMEN INV  00900000024TUN VAL   001000000200000000059300000000011860000768232          6642463                                                                            
0000000694 02 20260226COB  10:03:54TN0003400058AMEN BANK         003353700000015AMEN INV  00900000024TUN VAL   001000000019000000059300000000001126700768263          6642549                                                                            
0000000695 02 20260226COB  09:34:15TN0003400058AMEN BANK         002048100000018MAC       00100000024TUN VAL   00100000004100000005930000000000243130061529           6642454                                                                            
0000000696 02 20260226COB  09:50:06TN0003400058AMEN BANK         003097700000018MAC       00100000024TUN VAL   00100000022700000005930000000001346110054109           6642463                                                                            
0000000697 02 20260226COB  09:39:46TN0003400058AMEN BANK         002124900000018MAC       00100000024TUN VAL   00100000002500000005930000000000148250063417           6642454                                                                            
0000000698 02 20260226COB  09:08:30TN0003400058AMEN BANK         001024100000024TUN VAL   00100000024TUN VAL   0010000000480000000593000000000028464002882946         6642341                                                                            
0000000699 02 20260226COB  09:00:23TN0003400058AMEN BANK         000051300000024TUN VAL   00100000024TUN VAL   0010000000400000000598500000000023940002884522         6642314                                                                            
0000000700 02 20260226COB  09:00:23TN0003400058AMEN BANK         000076900000024TUN VAL   00100000024TUN VAL   0010000000250000000598500000000014962502884542         6642314                                                                            
0000000701 02 20260226COB  09:00:23TN0003400058AMEN BANK         000102500000024TUN VAL   00100000024TUN VAL   0010000000090000000598500000000005386502884543         6642314                                                                            
0000000702 02 20260226COB  09:00:23TN0003400058AMEN BANK         000128100000024TUN VAL   00100000024TUN VAL   0010000001000000000598500000000059850002884581         6642314                                                                            
0000000703 02 20260226COB  09:00:23TN0003400058AMEN BANK         000153700000024TUN VAL   00100000024TUN VAL   0010000001000000000598500000000059850002884585         6642314                                                                            
0000000704 02 20260226COB  09:00:23TN0003400058AMEN BANK         000179300000024TUN VAL   00100000024TUN VAL   0010000001000000000598500000000059850002884592         6642314                                                                            
0000000705 02 20260226COB  09:08:30TN0003400058AMEN BANK         000921700000024TUN VAL   00100000024TUN VAL   0010000000010000000594100000000000594102884598         6642341                                                                            
0000000706 02 20260226COB  09:08:30TN0003400058AMEN BANK         000896100000024TUN VAL   00100000024TUN VAL   0010000000020000000594200000000001188402884599         6642341                                                                            
0000000707 02 20260226COB  09:00:23TN0003400058AMEN BANK         000307300000024TUN VAL   01300000024TUN VAL   0010000001000000000598500000000059850002884620         6642291                                                                            
0000000708 02 20260226COB  09:00:23TN0003400058AMEN BANK         000384100000024TUN VAL   01300000024TUN VAL   0010000001000000000598500000000059850002884620         6642291                                                                            
0000000709 02 20260226COB  09:00:23TN0003400058AMEN BANK         000204900000024TUN VAL   01300000024TUN VAL   0010000000960000000598500000000057456002884620         6642314                                                                            
0000000710 02 20260226COB  09:08:30TN0003400058AMEN BANK         000947300000024TUN VAL   00100000024TUN VAL   0010000000200000000594100000000011882002884656         6642341                                                                            
0000000711 02 20260226COB  09:11:03TN0003400058AMEN BANK         001126500000024TUN VAL   00900000024TUN VAL   0010000001750000000593000000000103775002884699         6642341                                                                            
0000000712 02 20260226COB  09:11:23TN0003400058AMEN BANK         001203300000024TUN VAL   01300000024TUN VAL   0010000007000000000593000000000415100002884694         6642341                                                                            
0000000713 02 20260226COB  09:11:23TN0003400058AMEN BANK         001228900000024TUN VAL   01300000024TUN VAL   0010000043000000000593000000002549900002884694         6642341                                                                            
0000000714 02 20260226COB  09:11:37TN0003400058AMEN BANK         001254500000024TUN VAL   00100000024TUN VAL   0010000000030000000593000000000001779002884704         6642341                                                                            
0000000715 02 20260226COB  09:11:55TN0003400058AMEN BANK         001280100000024TUN VAL   01300000024TUN VAL   0010000006970000000593000000000413321002884709         6642341                                                                            
0000000716 02 20260226COB  09:11:55TN0003400058AMEN BANK         001305700000024TUN VAL   01300000024TUN VAL   0010000003030000000593000000000179679002884709         6642341                                                                            
0000000717 02 20260226COB  09:20:00TN0003400058AMEN BANK         001689700000024TUN VAL   00900000024TUN VAL   0010000000100000000593000000000005930002884733         6642401                                                                            
0000000718 02 20260226COB  09:40:23TN0003400058AMEN BANK         002150500000024TUN VAL   00900000024TUN VAL   0010000001500000000593000000000088950002884863         6642454                                                                            
0000000719 02 20260226COB  09:40:30TN0003400058AMEN BANK         002176100000024TUN VAL   00900000024TUN VAL   0010000003250000000593000000000192725002884864         6642454                                                                            
0000000720 02 20260226COB  09:40:30TN0003400058AMEN BANK         002227300000024TUN VAL   00900000024TUN VAL   0010000008750000000593000000000518875002884864         6642454                                                                            
0000000721 02 20260226COB  09:40:30TN0003400058AMEN BANK         002201700000024TUN VAL   00900000024TUN VAL   0010000004000000000593000000000237200002884864         6642463                                                                            
0000000722 02 20260226COB  09:40:30TN0003400058AMEN BANK         002252900000024TUN VAL   00900000024TUN VAL   0010000004000000000593000000000237200002884864         6642463                                                                            
0000000723 02 20260226COB  09:41:49TN0003400058AMEN BANK         002355300000024TUN VAL   00900000024TUN VAL   0010000000450000000593000000000026685002884869         6642454                                                                            
0000000724 02 20260226COB  09:41:49TN0003400058AMEN BANK         002329700000024TUN VAL   00900000024TUN VAL   0010000001000000000593000000000059300002884869         6642463                                                                            
0000000725 02 20260226COB  09:41:53TN0003400058AMEN BANK         002380900000024TUN VAL   00900000024TUN VAL   0010000004550000000593000000000269815002884871         6642454                                                                            
0000000726 02 20260226COB  09:41:53TN0003400058AMEN BANK         002432100000024TUN VAL   00900000024TUN VAL   0010000001450000000593000000000085985002884871         6642454                                                                            
0000000727 02 20260226COB  09:41:53TN0003400058AMEN BANK         002406500000024TUN VAL   00900000024TUN VAL   0010000004000000000593000000000237200002884871         6642463                                                                            
0000000728 02 20260226COB  09:43:00TN0003400058AMEN BANK         002457700000024TUN VAL   00900000024TUN VAL   0010000005000000000593000000000296500002884876         6642454                                                                            
0000000729 02 20260226COB  09:43:17TN0003400058AMEN BANK         002508900000024TUN VAL   00900000024TUN VAL   0010000004000000000593000000000237200002884877         6642454                                                                            
0000000730 02 20260226COB  09:43:17TN0003400058AMEN BANK         002483300000024TUN VAL   00900000024TUN VAL   0010000004000000000593000000000237200002884877         6642463                                                                            
0000000731 02 20260226COB  09:43:50TN0003400058AMEN BANK         002534500000024TUN VAL   00900000024TUN VAL   0010000001000000000593000000000059300002884878         6642454                                                                            
0000000732 02 20260226COB  09:43:50TN0003400058AMEN BANK         002560100000024TUN VAL   00900000024TUN VAL   0010000001070000000593000000000063451002884878         6642463                                                                            
0000000733 02 20260226COB  09:44:17TN0003400058AMEN BANK         002585700000024TUN VAL   00900000024TUN VAL   0010000002000000000593000000000118600002884881         6642463                                                                            
0000000734 02 20260226COB  09:44:31TN0003400058AMEN BANK         002636900000024TUN VAL   00900000024TUN VAL   0010000002070000000593000000000122751002884883         6642454                                                                            
0000000735 02 20260226COB  09:44:31TN0003400058AMEN BANK         002611300000024TUN VAL   00900000024TUN VAL   0010000000930000000593000000000055149002884883         6642463                                                                            
0000000736 02 20260226COB  09:44:42TN0003400058AMEN BANK         002662500000024TUN VAL   01300000024TUN VAL   0010000000400000000593000000000023720002884884         6642454                                                                            
0000000737 02 20260226COB  09:45:10TN0003400058AMEN BANK         002688100000024TUN VAL   00900000024TUN VAL   0010000002530000000593000000000150029002884886         6642454                                                                            
0000000738 02 20260226COB  09:45:10TN0003400058AMEN BANK         002713700000024TUN VAL   00900000024TUN VAL   0010000002470000000593000000000146471002884886         6642463                                                                            
0000000739 02 20260226COB  09:45:54TN0003400058AMEN BANK         002764900000024TUN VAL   00900000024TUN VAL   0010000001000000000593000000000059300002884891         6642463                                                                            
0000000740 02 20260226COB  09:46:25TN0003400058AMEN BANK         002816100000024TUN VAL   00900000024TUN VAL   0010000002470000000593000000000146471002884896         6642454                                                                            
0000000741 02 20260226COB  09:46:25TN0003400058AMEN BANK         002790500000024TUN VAL   00900000024TUN VAL   0010000000530000000593000000000031429002884896         6642463                                                                            
0000000742 02 20260226COB  09:49:20TN0003400058AMEN BANK         002969700000024TUN VAL   00100000024TUN VAL   0010000001660000000593000000000098438002884904         6642463                                                                            
0000000743 02 20260226COB  09:49:38TN0003400058AMEN BANK         002995300000024TUN VAL   00900000024TUN VAL   0010000003000000000593000000000177900002884907         6642463                                                                            
0000000744 02 20260226COB  09:49:53TN0003400058AMEN BANK         003020900000024TUN VAL   00100000024TUN VAL   0010000000340000000593000000000020162002884912         6642463                                                                            
0000000745 02 20260226COB  09:49:58TN0003400058AMEN BANK         003046500000024TUN VAL   00900000024TUN VAL   0010000000660000000593000000000039138002884913         6642463                                                                            
0000000746 02 20260226COB  09:49:58TN0003400058AMEN BANK         003072100000024TUN VAL   00900000024TUN VAL   0010000001200000000593000000000071160002884913         6642463                                                                            
0000000747 02 20260226COB  09:50:09TN0003400058AMEN BANK         003123300000024TUN VAL   00100000024TUN VAL   0010000000250000000593000000000014825002884914         6642463                                                                            
0000000748 02 20260226COB  09:50:40TN0003400058AMEN BANK         003148900000024TUN VAL   00100000024TUN VAL   0010000000280000000593000000000016604002884917         6642463                                                                            
0000000749 02 20260226COB  10:03:54TN0003400058AMEN BANK         003302500000024TUN VAL   00900000024TUN VAL   0010000000330000000593000000000019569002884919         6642549                                                                            
0000000750 02 20260226COB  10:03:54TN0003400058AMEN BANK         003328100000024TUN VAL   01300000024TUN VAL   0010000000280000000593000000000016604002884922         6642549                                                                            
0000000751 02 20260226COB  11:27:45TN0003400058AMEN BANK         004147300000024TUN VAL   01000000024TUN VAL   0010000000500000000594500000000029725002885243         6642728                                                                            
0000000752 02 20260226COB  11:43:17TN0003400058AMEN BANK         004172900000024TUN VAL   00100000024TUN VAL   0010000000210000000594500000000012484502885297         6642728                                                                            
0000000753 02 20260226COB  09:10:19TN0003400058AMEN BANK         001100900000027MAXULA    00100000024TUN VAL   001000000050000000059300000000002965000C260966764      6642341                                                                            
0000000754 02 20260226COB  09:08:30TN0003400058AMEN BANK         000998500000035ATTIJARI I00100000024TUN VAL   001000000167000000059400000000009919800C018933         6642341                                                                            
0000000755 02 20260226COB  09:45:35TN0003400058AMEN BANK         002739300000007UNION CAP 01300000027MAXULA    0010000001000000000591000000000059100004113294199900   O000966504                                                                         
0000000756 02 20260226COB  10:37:26TN0003400058AMEN BANK         003840100000015AMEN INV  01300000027MAXULA    001000000300000000059300000000017790000768278          C250966689                                                                         
0000000757 02 20260226COB  09:31:52TN0003400058AMEN BANK         001971300000018MAC       00100000027MAXULA    00100000006900000005930000000000409170061529           O000190017                                                                         
0000000758 02 20260226COB  09:32:14TN0003400058AMEN BANK         001996900000018MAC       00100000027MAXULA    00100000002000000005930000000000118600061529           O000191700                                                                         
0000000759 02 20260226COB  09:31:52TN0003400058AMEN BANK         001920100000022STB FIN   00100000027MAXULA    00100000000600000005935000000000035610059715           O000190017                                                                         
0000000760 02 20260226COB  09:00:23TN0003400058AMEN BANK         000025700000024TUN VAL   00100000027MAXULA    0010000000100000000598500000000005985002884522         O000966504                                                                         
0000000761 02 20260226COB  09:31:52TN0003400058AMEN BANK         001945700000024TUN VAL   00900000027MAXULA    0010000000550000000593000000000032615002884733         O000190017                                                                         
